Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
;2;Session genius.core.session.Session@6773822 failed: Failed to execute protocol: Execution failed of Atlas3@20:java.lang.NullPointerException: null:[agents.anac.y2015.Atlas3.Atlas3, boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t];1000rounds;No;;0;;;;;;Atlas3;boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t;0.5;0.5;0.5;0.5;;;;;;;Laptop-A-prof1;Laptop-A-prof2
;2;Session genius.core.session.Session@5df5ac0a failed: Failed to execute protocol: Execution failed of PonPokoAgent@22:java.lang.NullPointerException: null:[agents.anac.y2017.ponpokoagent.PonPokoAgent, boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t];1000rounds;No;;0;;;;;;PonPokoAgent;boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t;0.5;0.5;0.5;0.5;;;;;;;Laptop-A-prof1;Laptop-A-prof2
0,003;3;;1000rounds;Yes;Yes;2;0,81398;0,99862;0,00000;0,00000;1,81259;boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.PracticeSimpleFrequencyModel_delta-negotiator.boaframework.omstrategy.BestBid_t@24;TheFawkes@25;1.0;0.8151053951696905;0.9986160490928763;0.813977329318644;0.9986160490928763;0.0;0.0;0.0;0.9986160490928763;0.813977329318644;Laptop-A-prof1.xml;Laptop-A-prof2.xml
;2;Session genius.core.session.Session@66a7430a failed: Failed to execute protocol: Execution failed of TheFawkes@27:java.lang.NullPointerException: null:[boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t, agents.anac.y2013.TheFawkes.TheFawkes];1000rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t;TheFawkes;0.5;0.5;0.5;0.5;;;;;;;Laptop-A-prof1;Laptop-A-prof2
0,003;3;;1000rounds;Yes;Yes;2;0,81398;0,99862;0,00000;0,00000;1,81259;TheFawkes@28;TheFawkes@29;1.0;0.8151053951696905;0.9986160490928763;0.813977329318644;0.0;0.0;0.0;0.0;0.9986160490928763;0.813977329318644;Laptop-A-prof1.xml;Laptop-A-prof2.xml
0,003;3;;1000rounds;Yes;Yes;2;0,81398;0,99862;0,00000;0,00000;1,81259;KLH@30;TheFawkes@31;1.0;0.8151053951696905;0.9986160490928763;0.813977329318644;0.0;0.0;0.0;0.0;0.9986160490928763;0.813977329318644;Laptop-A-prof1.xml;Laptop-A-prof2.xml
0,002;3;;1000rounds;Yes;Yes;2;0,81398;0,99862;0,00000;0,00000;1,81259;Atlas3@32;TheFawkes@33;1.0;0.8151053951696905;0.9986160490928763;0.813977329318644;0.9986160490928763;0.0;0.0;0.0;0.9986160490928763;0.813977329318644;Laptop-A-prof1.xml;Laptop-A-prof2.xml
0,448;460;;1000rounds;Yes;Yes;2;0,59317;0,72772;0,00000;0,14166;1,32089;PonPokoAgent@34;TheFawkes@35;1.0;0.8151053951696905;0.7277216017103368;0.5931698037356242;0.7277216017103368;0.0;0.0;0.0;0.7277216017103368;0.5931698037356242;Laptop-A-prof1.xml;Laptop-A-prof2.xml
0,346;437;;1000rounds;Yes;Yes;2;0,62971;0,69588;0,00000;0,00000;1,32559;boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.PracticeSimpleFrequencyModel_delta-negotiator.boaframework.omstrategy.BestBid_t@36;KLH@37;0.851647611783233;0.9411329008630686;0.6297120047914191;0.6958778226791882;0.6297120047914191;0.0;0.0;0.0;0.6297120047914191;0.6958778226791882;Laptop-A-prof1.xml;Laptop-A-prof2.xml
;2;Session genius.core.session.Session@46f7fd24 failed: Failed to execute protocol: Execution failed of KLH@39:java.lang.NullPointerException: null:[boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t, agents.anac.y2011.HardHeaded.KLH];1000rounds;No;;0;;;;;;boa-negotiator.boaframework.offeringstrategy.anac2012.CUHKAgent_Offering-negotiator.boaframework.acceptanceconditions.other.AC_Uncertain-C..Desarrollo.Master.OpponentModel.out.production.OpponentModel.es.upv.opponentmodel.JaidenMeidenModel_delta_multa-negotiator.boaframework.omstrategy.BestBid_t;KLH;0.5;0.5;0.5;0.5;;;;;;;Laptop-A-prof1;Laptop-A-prof2
0,003;4;;1000rounds;Yes;Yes;2;0,72411;0,99792;0,00000;0,33018;1,72204;TheFawkes@40;KLH@41;0.725620106089855;1.0;0.724114293477099;0.9979247920501122;0.0;0.0;0.0;0.0;0.724114293477099;0.9979247920501122;Laptop-A-prof1.xml;Laptop-A-prof2.xml
0,341;477;;1000rounds;Yes;Yes;2;0,62860;0,62860;0,00000;0,05088;1,25721;KLH@42;KLH@43;0.8740242984783759;0.874024298478376;0.628602893371527;0.6286028933715271;0.0;0.0;0.0;0.0;0.628602893371527;0.6286028933715271;Laptop-A-prof1.xml;Laptop-A-prof2.xml
